first_name,last_name,team,league,nationality,position,shirt,dob,age,skill_avg
Romain,Ferrier,Cannes,French Division 1,French,CD,14,1976-02-24,20,48.5
Laurent,Charvet,Cannes,French Division 1,French,FOR,12,1973-05-08,23,48.17
Victor,Konwlo,Cannes,French Division 1,Liberian,FOR,22,1975-02-01,21,52.04
Sacha,Opinel,Cannes,French Division 1,French,CD,15,1977-04-09,19,50.79
Sebastien,Chabbert,Cannes,French Division 1,French,GK,18,1978-05-15,18,51.21
Kwani,Hodouto,Cannes,French Division 1,French,CD,19,1974-10-31,21,52.46
Komlan,Assignon,Cannes,French Division 1,French,DM,16,1974-01-20,22,47.21
Laurent,Leroy,Cannes,French Division 1,French,FOR,21,1976-04-16,20,54.42
Lilian,Compan,Cannes,French Division 1,French,FOR,23,1977-04-30,19,51.0
Fabrice,Grondin,Cannes,French Division 1,French,DM,20,1973-05-29,23,49.58
Cedric,Mouret,Cannes,French Division 1,French,FOR,24,1978-03-26,18,51.83
Samassi,Abou,Cannes,French Division 1,French,FOR,17,1973-04-04,23,51.96
Jean,Acedo,Gueugnon,French Division 2,French,RB,2,1964-02-04,32,50.29
David,Trivino,Gueugnon,French Division 2,French,AM,11,1973-04-16,23,51.54
Franck,Granger,Gueugnon,French Division 2,French,LB,3,1965-01-27,31,51.33
Ali,Boumnijel,Gueugnon,French Division 2,French,GK,1,1966-04-13,30,57.08
Alain,Durand,Gueugnon,French Division 2,French,FOR,9,1967-06-26,29,49.42
Claude,Dambury,Gueugnon,French Division 2,French,CD,4,1971-07-30,24,51.75
Christophe,Ajas,Gueugnon,French Division 2,French,FOR,10,1972-05-23,24,45.71
Fabien,Safanjon,Gueugnon,French Division 2,French,CD,5,1972-10-31,23,48.96
Yanick,Chandioux,Gueugnon,French Division 2,French,DM,6,1975-09-01,20,46.17
Clement,Garcia,Gueugnon,French Division 2,French,RM,7,1968-06-26,28,49.12
Franck,Juriette,Gueugnon,French Division 2,French,LM,8,1975-03-30,21,47.21
Sylvain,Poincon,Gueugnon,French Division 2,French,CD,14,1973-09-02,22,43.17
Jerome,Sykora,Gueugnon,French Division 2,French,GK,13,1971-04-14,25,51.21
Nicolas,Escthinzi,Gueugnon,French Division 2,French,FOR,17,1977-06-24,19,43.46
Claude,Fichaux,Gueugnon,French Division 2,French,CD,18,1969-03-24,27,52.75
Sylvain,Bupto,Gueugnon,French Division 2,French,FOR,12,1971-07-02,25,50.21
Philippe,Correia,Gueugnon,French Division 2,French,DM,15,1971-11-06,24,39.54
Victor,Carapuca,Gueugnon,French Division 2,French,FOR,16,1974-08-29,21,45.75
Herve,Anziani,Gueugnon,French Division 2,French,FOR,19,1976-04-27,20,52.5
Stephane,Boulila,Guingamp,French Division 1,French,RW,7,1974-12-13,21,55.5
Jean-Marc,Moulin,Guingamp,French Division 1,French,CD,4,1973-11-27,22,47.54
Ronald,Thomas,Guingamp,French Division 1,French,GK,1,1974-03-27,22,47.79
Christopher,Wreh,Guingamp,French Division 1,Liberian,FOR,10,1975-07-14,21,54.79
Laurent,Herve,Guingamp,French Division 1,French,LW,8,1976-06-19,20,54.42
Nicolas,Laspalles,Guingamp,French Division 1,French,LB,3,1971-11-27,24,47.71
Stephane,Carnot,Guingamp,French Division 1,French,AM,11,1972-07-10,24,48.71
Claude,Michel,Guingamp,French Division 1,French,DM,6,1971-04-24,25,45.08
Lionel,Rouxel,Guingamp,French Division 1,French,FOR,9,1970-08-16,25,49.67
Gheorghe,Mihali,Guingamp,French Division 1,Romanian,RB,2,1965-12-09,30,48.04
Richard,Lecomte,Guingamp,French Division 1,French,CD,5,1964-03-30,32,44.46
Vincent,Candela,Guingamp,French Division 1,French,FR,15,1973-10-24,22,48.96
Angelo,Hugues,Guingamp,French Division 1,French,GK,13,1966-09-03,29,54.33
Philippe,Celdran,Guingamp,French Division 1,French,FOR,16,1972-11-02,23,51.38
Pierre-Emmanuel,Bourdeau,Guingamp,French Division 1,French,CD,22,1975-05-19,21,49.92
Marek,Jozwiak,Guingamp,French Division 1,Polish,CD,21,1967-08-21,28,49.75
Stephane,Trevisan,Guingamp,French Division 1,French,GK,20,1973-05-01,23,47.25
Daniel,Moreira,Guingamp,French Division 1,French,DM,25,1977-08-08,18,49.5
Jean-Luc,Vannuchi,Guingamp,French Division 1,French,CD,23,1970-09-13,25,51.38
Patrick,Monnybille,Guingamp,French Division 1,French,DM,24,1978-01-21,18,47.29
Christophe,Horlaville,Guingamp,French Division 1,French,FOR,19,1969-03-01,27,51.71
Eric,Assadourian,Guingamp,French Division 1,French,RW,14,1966-06-24,30,51.08
Jerome,Foulon,Guingamp,French Division 1,French,CD,12,1971-02-06,25,48.62
Charles-Edward,Coridon,Guingamp,French Division 1,French,AM,18,1973-04-09,23,44.71
Yannick,Baret,Guingamp,French Division 1,French,DM,17,1972-12-20,23,43.29
David,Mazzoncini,Le Havre,French Division 1,French,DM,6,1971-10-16,24,46.12
Vikash,Dhorasoo,Le Havre,French Division 1,French,AM,8,1973-10-10,22,51.42
Nicolas,Huysman,Le Havre,French Division 1,French,AM,9,1967-02-09,29,51.96
Thierry,Uvenard,Le Havre,French Division 1,French,RB,2,1964-03-24,32,44.46
Frederic,Brando,Le Havre,French Division 1,French,DM,7,1973-11-08,22,45.75
Ludovic,Pollet,Le Havre,French Division 1,French,CD,5,1970-06-18,26,45.12
Christophe,Revault,Le Havre,French Division 1,French,GK,1,1972-03-22,24,52.75
Roger,Boli,Le Havre,French Division 1,French,FOR,11,1965-09-26,30,52.88
Ardian,Kozniku,Le Havre,French Division 1,Croatian,FOR,10,1967-10-27,28,52.42
Jean-Pierre,Delaunay,Le Havre,French Division 1,French,LB,3,1966-01-17,30,48.58
Mathieu,Louis Jean,Le Havre,French Division 1,French,CD,4,1976-02-22,20,45.96
Sebastien,Hamel,Le Havre,French Division 1,French,GK,13,1975-11-20,20,50.04
Abner,Ramdane,Le Havre,French Division 1,French,FOR,16,1974-02-23,22,57.08
Mohamed,Sylla,Le Havre,French Division 1,French,DM,14,1977-03-13,19,47.88
Stephane,Samson,Le Havre,French Division 1,French,FOR,23,1975-03-09,21,54.29
Dijibril,Diawara,Le Havre,French Division 1,Senegalian,CD,20,1975-01-03,21,51.88
Tomasz,Wieszczycki,Le Havre,French Division 1,Polish,DM,22,1971-12-21,24,51.42
Mamar,Mamouni,Le Havre,French Division 1,French,CD,21,1976-02-28,20,50.67
Dzoni,Novak,Le Havre,French Division 1,Slovenian,DM,19,1969-06-04,27,48.04
Teddy,Bertin,Le Havre,French Division 1,French,DM,18,1969-08-06,26,49.83
Olivier,De Luca,Le Havre,French Division 1,French,DM,17,1973-02-19,23,45.17
Bernard,Pascual,Le Havre,French Division 1,French,CD,12,1967-04-10,29,44.21
Tony,Vairelles,RC Lens,French Division 1,French,FOR,10,1973-04-10,23,52.62
Jean-Marc,Adjovi-Bocco,RC Lens,French Division 1,French,LB,3,1963-12-22,32,48.29
Cyrille,Magnier,RC Lens,French Division 1,French,CD,5,1969-08-24,26,44.88
Herve,Arsene,RC Lens,French Division 1,French,DM,6,1963-10-30,32,44.0
Anthony,Colinet,RC Lens,French Division 1,French,CD,4,1976-01-15,20,44.17
David,Regis,RC Lens,French Division 1,French,RB,2,1968-12-02,27,49.33
Frederic,Meyrieu,RC Lens,French Division 1,French,AM,11,1968-02-09,28,50.46
Abouacar,Camara,RC Lens,French Division 1,Guinean,FOR,9,1972-11-17,23,55.62
Jean-Claude,Nadon,RC Lens,French Division 1,French,GK,1,1964-11-21,31,49.54
Michael,Debeve,RC Lens,French Division 1,French,AM,8,1970-12-01,25,47.5
Christophe,Delmotte,RC Lens,French Division 1,French,DM,7,1969-06-09,27,49.12
Christophe,Marichez,RC Lens,French Division 1,French,GK,13,1974-12-12,21,47.96
Marc-Vivien,Foe,RC Lens,French Division 1,Cameroonian,DM,15,1975-05-01,21,44.0
Philippe,Durpes,RC Lens,French Division 1,French,FOR,16,1974-03-06,22,50.25
Xavier,Meride,RC Lens,French Division 1,French,CD,20,1975-01-09,21,53.46
Philippe,Brunel,RC Lens,French Division 1,French,FOR,23,1973-02-28,23,55.25
Vladimir,Smicer,RC Lens,French Division 1,Czech,FOR,22,1973-05-24,23,59.46
Sacha,Richkov,RC Lens,French Division 1,Russian,DM,21,1974-09-29,21,51.5
Jean-Guy,Wallemme,RC Lens,French Division 1,French,SW,14,1967-08-10,28,52.38
Eric,Sikora,RC Lens,French Division 1,French,CD,17,1968-02-04,28,50.33
Guillaume,Warmuz,RC Lens,French Division 1,French,GK,19,1970-05-22,26,50.29
Frederic,Dehu,RC Lens,French Division 1,French,CD,12,1972-10-24,23,48.88
Sebastien,Dallet,RC Lens,French Division 1,French,FOR,18,1973-09-30,22,52.0
Amara,Simba,Lille,French Division 1,French,FOR,9,1961-12-23,34,54.58
Gael,Sanz,Lille,French Division 1,French,DM,8,1977-05-01,19,46.42
Patrick,Collot,Lille,French Division 1,French,FOR,10,1967-06-22,29,53.21
Philippe,Perilleux,Lille,French Division 1,French,LM,11,1963-09-16,32,51.54
Philippe,Levenard,Lille,French Division 1,French,DM,6,1965-02-06,31,48.96
Gilles,Hampartzoumian,Lille,French Division 1,French,RB,2,1969-05-20,27,46.38
Cedric,Carrez,Lille,French Division 1,French,CD,5,1974-02-07,22,43.46
Geza,Meszoly,Lille,French Division 1,Hungarian,RM,7,1967-02-06,29,49.38
Pascal,Cygan,Lille,French Division 1,French,LB,3,1974-04-29,22,53.92
Pegguy,Arphexad,Lille,French Division 1,French,GK,1,1973-05-18,23,46.92
Thierry,Rabat,Lille,French Division 1,French,CD,4,1962-05-30,34,49.42
Dzezon,Boutoille,Lille,French Division 1,French,FOR,12,1975-01-09,21,55.17
Jeremy,Denquin,Lille,French Division 1,French,CD,14,1977-05-18,19,42.79
Jeran-Marie,Aubry,Lille,French Division 1,French,GK,13,1969-04-03,27,49.79
Denis,Abed,Lille,French Division 1,French,FOR,24,1969-02-10,27,58.0
Franck,Turpin,Lille,French Division 1,French,CD,20,1977-01-27,19,51.12
David,Coulibaly,Lille,French Division 1,French,DM,23,1978-01-21,18,51.88
Anthony,Garcia,Lille,French Division 1,French,DM,21,1972-03-18,24,49.62
Bojan,Banjac,Lille,French Division 1,Yugoslavian,DM,22,1972-10-24,23,54.0
Roger,Hitoto,Lille,French Division 1,French,AM,19,1969-02-24,27,47.83
Arnaud,Duncker,Lille,French Division 1,French,DM,15,1968-06-26,28,46.29
David,Garcion,Lille,French Division 1,French,AM,16,1973-09-27,22,50.17
Fabien,Leclerc,Lille,French Division 1,French,DM,18,1972-10-12,23,46.38
Frederic,Dindeleux,Lille,French Division 1,French,CD,17,1974-01-16,22,43.75
Jean-Luc,Sassus,Lyon,French Division 1,French,CD,5,1972-01-04,24,51.79
Frederic,Patouillard,Lyon,French Division 1,French,DM,7,1974-01-13,22,48.29
Florian,Maurice,Lyon,French Division 1,French,FOR,10,1974-01-20,22,53.62
Alain,Caveglia,Lyon,French Division 1,French,FOR,9,1968-03-28,28,52.58
Pascal,Olmeta,Lyon,French Division 1,French,GK,1,1961-04-07,35,53.17
Christophe,Deguerville,Lyon,French Division 1,French,LB,3,1970-06-27,26,54.08
Ghislain,Anselmini,Lyon,French Division 1,French,RB,2,1970-05-06,26,46.79
Sylvain,Deplace,Lyon,French Division 1,French,DM,8,1972-01-04,24,49.21
Kiremitdjlan,Marcelo,Lyon,French Division 1,Brazilian,SW,4,1966-11-06,29,49.29
Franck,Gava,Lyon,French Division 1,French,AM,11,1970-02-03,26,49.96
Laurent,Casanova,Lyon,French Division 1,French,CD,6,1971-09-28,24,46.71
Christophe,Breton,Lyon,French Division 1,French,GK,13,1966-05-21,30,48.92
Ludovic,Giuly,Lyon,French Division 1,French,AM,14,1976-07-10,20,51.58
Florent,Laville,Lyon,French Division 1,French,CD,12,1973-08-07,22,47.75
Frederic,Fouret,Lyon,French Division 1,French,FOR,20,1974-10-24,21,57.33
Jean-Christophe,Devaux,Lyon,French Division 1,French,CD,18,1975-05-16,21,50.25
Fabrice,Fiorese,Lyon,French Division 1,French,FOR,21,1975-07-26,21,55.0
Olivier,Bellisi,Lyon,French Division 1,French,DM,19,1975-11-25,20,52.79
Christophe,Cocard,Lyon,French Division 1,French,RW,15,1967-11-23,28,53.25
Cedric,Bardon,Lyon,French Division 1,French,FOR,16,1976-10-15,19,52.71
Jacek,Bak,Lyon,French Division 1,Polish,SW,17,1973-03-24,23,50.83
Franck,Soler,Martigues,French Division 2,French,FOR,10,1970-10-03,25,55.54
Gil,Frenchingues,Martigues,French Division 2,French,CD,4,1971-09-01,24,46.62
Laurent,David,Martigues,French Division 2,French,RW,11,1971-01-01,25,54.04
Laurent,Grimaud,Martigues,French Division 2,French,LB,3,1976-08-05,19,51.54
Giullaume,Bouisset,Martigues,French Division 2,French,CD,19,1973-01-07,23,51.38
Patrice,Martinelli,Martigues,French Division 2,French,RB,2,1972-07-26,24,47.62
Eric,Durand,Martigues,French Division 2,French,GK,1,1965-08-18,30,53.12
Abassi,Boinaheri,Martigues,French Division 2,French,FOR,9,1976-10-23,19,50.04
Olivier,Ichoua,Martigues,French Division 2,French,LM,7,1970-10-03,25,48.79
Frederic,Mendy,Martigues,French Division 2,French,DM,6,1973-11-29,22,54.62
Samir,Zamfir,Martigues,French Division 2,Romanian,AM,8,1967-10-07,28,48.92
Gilles,Petrucci,Martigues,French Division 2,French,CD,15,1968-12-04,27,49.08
Christophe,Vialet,Martigues,French Division 2,French,GK,13,1970-09-18,25,52.33
Abibou,Tchagnao,Martigues,French Division 2,Tongan,AM,16,1975-05-23,21,48.54
Olivier,Vandevoorde,Martigues,French Division 2,French,FOR,23,1969-08-07,26,45.08
Abdelsalam,Sow,Martigues,French Division 2,Guinean,FOR,12,1970-08-13,25,60.71
Didier,Dubois,Martigues,French Division 2,French,LB,18,1967-04-11,29,51.71
Abdou,Bangoura,Martigues,French Division 2,Guinean,RB,14,1971-02-09,25,47.67
Henrik,Bertilsson,Martigues,French Division 2,Swedish,FOR,17,1969-01-16,27,48.33
Stephane,Odet,Martigues,French Division 2,French,LM,21,1976-11-26,19,45.33
Serge,Romano,Martigues,French Division 2,French,DM,20,1964-05-25,32,46.67
Stephane,Leoni,FC Metz,French Division 1,French,LM,11,1976-03-05,20,46.71
Isaias,Magelhaes De Silva,FC Metz,French Division 1,Brazilian,AM,9,1973-11-29,22,58.46
David,Terrier,FC Metz,French Division 1,French,RM,8,1973-08-04,22,50.5
Franck,Histilloles,FC Metz,French Division 1,French,FOR,23,1973-01-25,23,50.42
Andre,Biancarelli,FC Metz,French Division 1,French,GK,1,1970-03-11,26,50.71
Philippe,Gaillot,FC Metz,French Division 1,French,CD,4,1965-02-28,31,48.58
Tarik,Kharf,FC Metz,French Division 1,French,CD,5,1976-09-11,19,44.0
Amara,Traore,FC Metz,French Division 1,Senegalian,FOR,10,1965-09-25,30,53.04
Didier,Lang,FC Metz,French Division 1,French,RB,2,1970-12-15,25,48.0
Pascal,Pierre,FC Metz,French Division 1,French,LB,3,1968-05-28,28,52.67
Rigobert,Song Bahanag,FC Metz,French Division 1,Cameroonian,DM,7,1976-07-01,20,44.79
Jeff,Strasser,FC Metz,French Division 1,Luxembourgen,DM,15,1974-10-05,21,45.17
Stephane,Adam,FC Metz,French Division 1,French,FOR,12,1969-05-14,27,50.67
Lionel,Letizi,FC Metz,French Division 1,French,GK,13,1973-05-28,23,51.58
Hassan,Kachloul,FC Metz,French Division 1,Moroccan,CD,21,1973-02-19,23,52.79
Christophe,Eggimann,FC Metz,French Division 1,French,GK,20,1976-09-23,19,49.38
Mariano,Bombardo,FC Metz,French Division 1,Italian,FOR,22,1972-09-10,23,48.62
Jocelyn,Blanchard,FC Metz,French Division 1,French,AM,18,1972-05-28,24,49.88
Frederic,Arpinon,FC Metz,French Division 1,French,AM,14,1969-05-09,27,50.33
Robert,Pires,FC Metz,French Division 1,French,FOR,19,1973-01-29,23,55.58
Cyril,Serredszum,FC Metz,French Division 1,French,DM,17,1971-10-02,24,50.08
Sylvain,Kastendeuch,FC Metz,French Division 1,French,SW,6,1963-08-31,32,50.33
Didier,Neumann,FC Metz,French Division 1,French,CD,16,1977-01-13,19,43.79
Philippe,Leonard,Monaco,French Division 1,Belgian,LB,22,1974-02-14,22,58.75
Franck,Dumas,Monaco,French Division 1,French,CD,6,1968-01-09,28,53.38
Martin,Djetou,Monaco,French Division 1,Ivoryian,CD,3,1974-12-15,21,58.67
Fabien,Barthez,Monaco,French Division 1,French,GK,1,1971-06-28,25,53.04
John,Collins,Monaco,French Division 1,Scottish,LM,7,1968-01-31,28,66.04
Patrick,Blondeau,Monaco,French Division 1,French,RB,17,1968-01-27,28,56.75
Enzo,Scifo,Monaco,French Division 1,Belgian,AM,9,1966-02-19,30,65.25
Ali,Benarbia,Monaco,French Division 1,French,RM,18,1968-10-08,27,59.21
Sonny,Anderson,Monaco,French Division 1,Brazilian,FOR,11,1970-09-19,25,63.92
Sylvain,Legwinsky,Monaco,French Division 1,French,DM,13,1973-10-06,22,63.79
Viktor,Ikpeba,Monaco,French Division 1,Nigerian,FOR,8,1973-06-12,23,65.21
Lilian,Martin,Monaco,French Division 1,French,CD,12,1971-05-28,25,51.62
Stephane,Porato,Monaco,French Division 1,French,GK,15,1973-09-19,22,48.79
Emmanuel,Petit,Monaco,French Division 1,French,DM,19,1970-09-22,25,64.0
Bruno,Clement,Monaco,French Division 1,French,GK,21,1969-09-07,26,49.04
David,Trezeguet,Monaco,French Division 1,French,FOR,23,1977-10-15,18,65.33
Eric,Di Meco,Monaco,French Division 1,French,RB,2,1963-09-07,32,60.67
Thierry,Henry,Monaco,French Division 1,French,RW,14,1977-08-17,18,55.67
Manuel,Dos Santos,Monaco,French Division 1,French,CD,4,1974-03-28,22,53.04
Marco,Grassi,Monaco,French Division 1,Swiss,FOR,16,1968-08-08,27,55.58
Gilles,Grimandi,Monaco,French Division 1,French,CD,5,1970-11-11,25,53.5
Dan,Petersen,Monaco,French Division 1,Danish,FOR,10,1972-05-06,24,62.38
Laurent,Viaud,Monaco,French Division 1,French,DM,20,1969-10-08,26,58.96
William,Prunier,Montpellier,French Division 1,French,CD,6,1967-08-14,28,49.79
Roman,Kosecki,Montpellier,French Division 1,Polish,FOR,10,1966-02-15,30,52.54
Franck,Sauzee,Montpellier,French Division 1,French,AM,9,1965-10-26,30,48.29
Bruno,Martini,Montpellier,French Division 1,French,GK,1,1962-01-25,34,54.21
Serge,Blanc,Montpellier,French Division 1,French,RB,2,1972-09-22,23,50.88
Jean-Manuel,Thetis,Montpellier,French Division 1,French,CD,5,1971-11-05,24,48.42
Fabien,Lefevre,Montpellier,French Division 1,French,RM,7,1971-11-14,24,49.08
Jean-Christophe,Rouviere,Montpellier,French Division 1,French,DM,11,1974-08-04,21,52.62
Frederic,Martin,Montpellier,French Division 1,French,SW,4,1969-06-06,27,59.5
Pascal,Baills,Montpellier,French Division 1,French,LB,3,1964-12-30,31,50.12
Franck,Rizzetto,Montpellier,French Division 1,French,LM,8,1971-03-29,25,50.38
Ibrahim,Bakayoko,Montpellier,French Division 1,Ivoryian,FOR,12,1976-12-31,19,54.96
Phillippe,Flucklinger,Montpellier,French Division 1,French,GK,14,1963-05-24,33,52.83
Kader,Ferhaoui,Montpellier,French Division 1,Algerian,DM,19,1965-03-19,31,51.08
Jean-Philippe,Javary,Montpellier,French Division 1,French,FOR,24,1978-01-10,18,53.83
Thierry,Laurey,Montpellier,French Division 1,French,LB,16,1963-02-17,33,54.04
Michel,Der Zakarian,Montpellier,French Division 1,French,CD,18,1963-02-18,33,45.88
Pascal,Fugier,Montpellier,French Division 1,French,RB,17,1968-09-22,27,46.88
Fabrice,Divert,Montpellier,French Division 1,French,FOR,23,1967-02-09,29,51.96
Herve,Alicarte,Montpellier,French Division 1,French,CD,15,1974-10-07,21,51.75
Philippe,Delaye,Montpellier,French Division 1,French,FOR,20,1975-06-26,21,50.92
Christophe,Sanchez,Montpellier,French Division 1,French,FOR,22,1972-10-04,23,55.42
Laurent,Robert,Montpellier,French Division 1,French,FOR,21,1975-05-21,21,51.33
Claude,Makelele,Nantes,French Division 1,French,RM,11,1973-02-18,23,50.42
Frederic,Da Rocha,Nantes,French Division 1,French,FOR,10,1974-09-16,21,49.75
Jocelyn,Gourvennec,Nantes,French Division 1,French,AM,9,1972-03-22,24,52.92
Jean-Michel,Ferri,Nantes,French Division 1,French,LM,7,1969-02-07,27,47.29
Jean-Marc,Chanelet,Nantes,French Division 1,French,LB,3,1968-07-23,28,52.88
Dominique,Casagrande,Nantes,French Division 1,French,GK,1,1971-05-08,25,52.67
Serge,Le Dizet,Nantes,French Division 1,French,RB,2,1974-06-27,22,50.38
Laurent,Guyot,Nantes,French Division 1,French,CD,5,1969-12-17,26,49.08
Eric,Decroix,Nantes,French Division 1,French,SW,6,1969-03-07,27,53.21
Eddy,Capron,Nantes,French Division 1,French,CD,4,1971-01-15,25,52.17
Bruno,Carotti,Nantes,French Division 1,French,DM,8,1972-09-30,23,51.42
Eric,Loussouarn,Nantes,French Division 1,French,GK,13,1974-08-27,21,48.92
Adel,Sellimi,Nantes,French Division 1,Tunisian,FOR,16,1972-11-16,23,56.79
Japhet,N'doram,Nantes,French Division 1,Chadian,AM,15,1966-02-27,30,54.67
Christophe,Le Roux,Nantes,French Division 1,French,DM,14,1969-03-07,27,59.71
Erwan,Guyot,Nantes,French Division 1,French,CD,12,1973-06-20,23,53.29
Nicolas,Savinaud,Nantes,French Division 1,French,CD,19,1975-11-20,20,49.83
Olivier,Monterubio,Nantes,French Division 1,French,FOR,20,1976-08-08,19,53.92
Franck,Renou,Nantes,French Division 1,French,FOR,18,1973-11-19,22,50.5
Christophe,Pignol,Nantes,French Division 1,French,RB,17,1969-10-15,26,53.0
Monteiro,Rubenilson,Nice,French Division 1,Brazilian,FOR,10,1972-08-07,23,56.08
Zoran,Milinkovic,Nice,French Division 1,Yugoslavian,LW,11,1968-07-18,28,50.46
Bruno,Valencony,Nice,French Division 1,French,GK,1,1968-06-16,28,54.58
James,Debbah,Nice,French Division 1,Liberian,RW,8,1967-12-14,28,52.92
Mohammed,Chaouch,Nice,French Division 1,French,FOR,9,1966-12-12,29,54.79
Thierry,De Neef,Nice,French Division 1,French,DM,6,1966-10-27,29,44.54
Louis,Gomis,Nice,French Division 1,French,CD,4,1971-11-06,24,42.21
Jean-Francois,Daniel,Nice,French Division 1,French,DM,7,1964-06-14,32,49.0
Youssef,Salimi,Nice,French Division 1,French,LB,3,1972-08-24,23,46.79
Thierry,Rossi,Nice,French Division 1,French,RB,2,1972-12-12,23,51.79
Bruno,Calegari,Nice,French Division 1,French,CD,5,1975-05-13,21,43.08
Franck,Pottier,Nice,French Division 1,French,FOR,16,1975-02-14,21,53.04
Abdallah,Bah,Nice,French Division 1,Senegalian,GK,13,1975-11-30,20,49.5
Frederic,Gioria,Nice,French Division 1,French,DM,15,1969-09-02,26,45.54
Frederic,Tatarian,Nice,French Division 1,French,DM,21,1970-12-30,25,48.21
Roberto,Onorati,Nice,French Division 1,Italian,DM,22,1966-02-05,30,50.71
Arjan,Vermeulen,Nice,French Division 1,Dutch,CD,24,1969-03-19,27,52.46
Henri,Savini,Nice,French Division 1,French,DM,14,1975-05-08,21,50.29
Robin,Huc,Nice,French Division 1,French,GK,19,1965-03-20,31,48.25
David,Negre,Nice,French Division 1,French,FOR,23,1973-11-30,22,54.92
Thierry,Cretier,Nice,French Division 1,French,CD,17,1972-08-03,23,44.0
Jean-Philippe,Mattio,Nice,French Division 1,French,RB,18,1965-02-24,31,53.46
Olivier,Fugen,Nice,French Division 1,French,CD,12,1970-10-17,25,43.33
Romeo,Calenda,Paris SG,French Division 1,French,LM,11,1972-08-21,23,64.04
Bernard,Lama,Paris SG,French Division 1,French,GK,1,1963-04-17,33,56.29
Patrice,Loko,Paris SG,French Division 1,French,FOR,10,1970-02-06,26,59.0
Souza Viera De Oliveria,Rai,Paris SG,French Division 1,Brazilian,FOR,9,1965-05-15,31,58.42
Alain,Roche,Paris SG,French Division 1,French,CD,4,1967-10-14,28,55.0
Bruno,N'gotty,Paris SG,French Division 1,French,CD,5,1971-06-10,25,58.83
Laurent,Fournier,Paris SG,French Division 1,French,DM,6,1964-09-14,31,60.88
Jose,Cobos,Paris SG,French Division 1,French,RB,2,1968-04-23,28,50.58
Paul,Le Guen,Paris SG,French Division 1,French,DM,8,1964-03-01,32,58.75
Vincent,Guerin,Paris SG,French Division 1,French,RM,7,1965-11-22,30,59.83
Didier,Domi,Paris SG,French Division 1,French,LB,3,1978-04-06,18,57.0
Vincent,Fernandez,Paris SG,French Division 1,French,GK,13,1975-01-31,21,57.46
Jimmy,Algerino,Paris SG,French Division 1,French,CD,12,1971-10-28,24,53.75
Berhard,Allou,Paris SG,French Division 1,French,AM,15,1975-06-19,21,63.04
Daniel,Kenedy,Paris SG,French Division 1,French,DM,14,1974-02-18,22,61.62
Jerome,Leroy,Paris SG,French Division 1,French,DM,19,1974-11-04,21,57.21
Patrick,Mboma,Paris SG,French Division 1,Cameroonian,FOR,21,1970-11-15,25,59.88
Nascimento de Araujo,Leonardo,Paris SG,French Division 1,Brazilian,LB,20,1969-09-05,26,63.08
Bruno,Miriel,Paris SG,French Division 1,French,GK,18,1977-10-05,18,55.33
Julio Cesar,Dely Valdes,Paris SG,French Division 1,Panamanian,FOR,16,1967-03-12,29,58.12
Benoit,Cauet,Paris SG,French Division 1,French,AM,17,1969-05-02,27,65.58
Kjetil,Rekdal,Rennes,French Division 1,Norwegian,DM,8,1968-11-06,27,53.96
Yoann,Bigne,Rennes,French Division 1,French,LM,11,1977-08-23,18,47.0
Fritz,Emeran,Rennes,French Division 1,French,RM,7,1976-03-25,20,46.79
Patrice,Carteron,Rennes,French Division 1,French,RB,2,1970-07-30,25,50.71
Gary,Smith,Rennes,French Division 1,Scottish,CD,5,1971-03-25,25,54.08
Ulrich,Le Pen,Rennes,French Division 1,French,LB,3,1974-01-23,22,52.12
Goran,Pandurovic,Rennes,French Division 1,French,GK,1,1963-07-16,33,54.42
Stephane,Mahe,Rennes,French Division 1,French,CD,4,1968-09-23,27,49.92
Jean-Christophe,Darcheville,Rennes,French Division 1,French,FOR,9,1975-07-25,21,49.79
Francois,Denis,Rennes,French Division 1,French,SW,6,1964-05-14,32,46.71
Pierre-Yves,Andre,Rennes,French Division 1,French,FOR,10,1973-05-14,23,57.17
Mickeal,Silvestre,Rennes,French Division 1,French,CD,12,1977-08-09,18,48.79
Tony,Heurtebis,Rennes,French Division 1,French,GK,13,1976-03-28,20,49.12
Loic,Lambert,Rennes,French Division 1,French,DM,14,1966-10-25,29,45.46
Farid,Diaf,Rennes,French Division 1,French,DM,15,1971-04-19,25,47.38
Nicolas,Gousse,Rennes,French Division 1,French,FOR,16,1976-01-02,20,54.42
Fabien,Debec,Rennes,French Division 1,French,GK,22,1976-01-18,20,50.04
Mickael,Buzare,Rennes,French Division 1,French,FOR,24,1976-06-30,20,52.83
Corneliu,Papura,Rennes,French Division 1,Romanian,FR,25,1974-01-01,22,51.58
Sylvain,Wiltord,Rennes,French Division 1,French,FOR,20,1973-05-10,23,56.0
David,Voisin,Rennes,French Division 1,French,DM,17,1975-06-13,21,47.33
Laurent,Huard,Rennes,French Division 1,French,AM,18,1973-08-26,22,51.33
Regis,Le Bris,Rennes,French Division 1,French,DM,21,1975-12-06,20,46.46
Stephane,Guivarc'h,Rennes,French Division 1,French,FOR,19,1970-09-06,25,52.17
Jean-Philippe,Primaud,St Etienne,French Division 2,French,LB,3,1962-10-20,33,49.21
Didier,Thimothee,St Etienne,French Division 2,French,FOR,10,1970-06-25,26,53.83
Pierre,Bastou,St Etienne,French Division 2,French,LM,8,1973-08-01,22,49.83
