first_name,last_name,team,dob,age,GK,RB,LB,CD,RWB,LWB,SW,DM,RM,LM,AM,RW,LW,FR,FOR,SS
Demir,Duric,FC St. Pauli,1976-11-18,19,40,48,48,45,58,58,57,58,62,62,64,65,65,64,65,66
Frank,Böse,FC St. Pauli,1969-02-14,27,69,40,40,36,41,41,45,51,51,51,52,49,49,47,37,41
Bernd,Eigner,FC St. Pauli,1972-05-01,24,38,65,65,67,50,50,55,55,47,47,45,40,40,41,41,39
Luiz Firmino,Emerson,FC St. Pauli,1973-07-28,23,41,47,47,47,56,56,54,48,53,53,54,61,61,63,70,67
Carsten,Wehlmann,FC St. Pauli,1972-07-26,24,68,38,38,35,36,36,40,41,39,39,40,40,40,41,34,35
Holgor,Stanislawski,FC St. Pauli,1969-09-26,26,35,60,60,61,48,48,53,51,44,44,42,39,39,41,40,38
Kay,Stisi,FC St. Pauli,1971-06-12,25,38,41,41,41,51,51,50,45,51,51,53,59,59,61,67,64
Jens,Scharping,FC St. Pauli,1974-07-16,22,39,45,45,45,54,54,52,47,52,52,53,59,59,61,64,62
Michael,Bochtler,FC St. Pauli,1975-10-15,20,36,67,67,70,53,53,55,55,49,49,47,42,42,41,38,38
Ralf,Becker,FC St. Pauli,1970-09-26,25,34,52,52,54,48,48,49,51,51,51,51,47,47,45,46,46
Torsten,Fröhling,FC St. Pauli,1966-08-24,29,46,69,69,68,64,64,66,68,65,65,64,60,60,58,51,53
Oliver,Schweißing,FC St. Pauli,1971-03-03,25,38,43,43,43,44,44,47,45,46,46,46,47,47,50,57,54
Sebastién,Fournier,VfB Stuttgart,1971-06-27,25,43,69,69,69,59,59,64,66,60,60,59,55,55,56,52,53
Fredi,Bobic,VfB Stuttgart,1971-10-30,24,49,51,51,49,60,60,62,59,62,62,64,68,68,71,79,76
Matthias,Hagner,VfB Stuttgart,1974-08-15,21,42,68,68,67,64,64,67,69,66,66,65,61,61,58,52,53
Giovane,Elber,VfB Stuttgart,1971-07-23,25,43,47,47,46,57,57,56,51,55,55,57,64,64,66,72,69
Marco,Grimm,VfB Stuttgart,1972-06-16,24,39,66,66,66,61,61,62,60,56,56,55,54,54,54,43,44
Thomas,Berthold,VfB Stuttgart,1964-11-12,31,42,72,72,75,55,55,62,61,51,51,48,43,43,45,44,42
Thomas,Schneider,VfB Stuttgart,1972-11-24,23,44,78,78,81,62,62,67,65,58,58,55,50,50,51,49,47
Krassimir,Balakov,VfB Stuttgart,1966-03-29,30,47,68,68,66,77,77,76,75,78,78,79,82,82,81,75,77
Frank,Verlaat,VfB Stuttgart,1968-03-05,28,41,76,76,79,59,59,65,63,56,56,53,47,47,48,49,46
Zvonimir,Soldo,VfB Stuttgart,1967-11-02,28,49,65,65,62,70,70,69,70,73,73,73,73,73,71,65,67
Franz,Wohlfahrt,VfB Stuttgart,1964-07-01,32,75,40,40,36,39,39,45,50,46,46,47,44,44,44,37,39
Hendrik,Herzog,VfB Stuttgart,1969-04-02,27,42,68,68,69,55,55,61,55,47,47,45,45,45,48,43,40
Eberhard,Trautner,VfB Stuttgart,1967-02-07,29,69,39,39,35,40,40,44,47,45,45,46,45,45,46,36,38
Danny,Schwarz,VfB Stuttgart,1975-05-11,21,37,59,59,61,54,54,56,60,59,59,58,53,53,49,48,49
Kristian,Lisztes,VfB Stuttgart,1974-01-01,22,45,72,72,72,63,63,69,73,68,68,67,61,61,61,62,62
Michael,Oelkuch,VfB Stuttgart,1973-02-05,23,40,71,71,73,55,55,62,62,53,53,51,44,44,46,46,44
Gerhard,Poschner,VfB Stuttgart,1969-09-23,26,43,72,72,71,67,67,69,69,67,67,66,63,63,61,57,58
Marc,Ziegler,VfB Stuttgart,1976-06-13,20,72,40,40,36,41,41,46,49,48,48,49,47,47,48,39,41
Thorsten,Legat,VfB Stuttgart,1968-11-07,27,40,60,60,62,56,56,57,54,53,53,53,51,51,52,59,55
Andreas,Buck,VfB Stuttgart,1967-12-29,28,35,58,58,58,51,51,56,57,53,53,53,49,49,51,56,54
Marco,Haber,VfB Stuttgart,1971-09-21,24,37,63,63,63,55,55,60,62,58,58,58,53,53,54,55,54
Radoslav,Gilewicz,VfB Stuttgart,1971-05-08,25,37,61,61,62,52,52,57,59,55,55,54,49,49,50,54,53
Kristijan,Djordjevic,VfB Stuttgart,1976-01-06,20,46,69,69,67,61,61,67,73,68,68,67,60,60,57,52,53
Andrej,Panadic,KFC Uerdingen,1969-03-09,27,39,57,57,57,45,45,50,49,43,43,41,38,38,40,37,36
Sven,Lintjens,KFC Uerdingen,1976-10-05,19,42,50,50,47,54,54,56,58,59,59,60,60,60,59,60,61
Jörg,Nowtony,KFC Uerdingen,1968-12-27,27,40,42,42,41,52,52,50,47,53,53,54,59,59,60,65,63
Robert,Midleby,KFC Uerdingen,1975-08-09,20,39,49,49,48,56,56,56,57,61,61,63,63,63,61,62,63
Claus-Dieter,Wollitz,KFC Uerdingen,1965-07-19,31,36,61,61,62,53,53,57,59,54,54,54,49,49,49,48,48
Alexander,Bade,KFC Uerdingen,1970-08-25,25,63,36,36,33,38,38,41,46,48,48,50,47,47,44,37,40
Marcus,Wedau,KFC Uerdingen,1975-12-31,20,37,57,57,57,47,47,52,54,49,49,48,43,43,44,44,44
Axel,Jüptner,KFC Uerdingen,1969-04-26,27,34,52,52,52,47,47,50,52,50,50,49,45,45,45,42,43
Uwe,Grauer,KFC Uerdingen,1975-01-01,21,37,56,56,57,55,55,55,50,48,48,46,48,48,50,42,42
Helmut,Reiner,KFC Uerdingen,1971-03-29,25,40,63,63,67,50,50,53,51,46,46,43,40,40,40,41,39
Heiko,Peschke,KFC Uerdingen,1963-09-18,32,38,63,63,64,59,59,61,59,55,55,54,53,53,53,44,44
Achim,Hollerieth,KFC Uerdingen,1973-09-24,22,57,32,32,30,30,30,32,33,32,32,33,32,32,32,28,28
John,van Buskirk,KFC Uerdingen,1972-04-13,24,38,43,43,42,51,51,50,46,51,51,52,56,56,57,61,59
Sebastian,Hahn,KFC Uerdingen,1975-12-18,20,36,54,54,54,45,45,51,54,48,48,48,43,43,44,42,43
Dimitrios,Grammozis,KFC Uerdingen,1978-07-08,18,39,59,59,58,51,51,56,61,56,56,55,50,50,48,46,47
Jess,Thorup,KFC Uerdingen,1970-02-21,26,42,42,42,41,50,50,49,45,49,49,50,56,56,58,63,61
Markus,Saar,KFC Uerdingen,1977-09-26,18,39,61,61,60,51,51,56,62,57,57,56,49,49,48,49,50
Jörg,Scherbe,KFC Uerdingen,1977-10-19,18,37,58,58,59,51,51,53,50,45,45,43,43,43,44,38,37
Shaun,Petroski,KFC Uerdingen,1977-08-28,18,42,43,43,40,49,49,50,48,51,51,52,55,55,57,62,60
Gerd,Kühn,KFC Uerdingen,1968-03-19,28,40,59,59,60,47,47,51,51,45,45,43,40,40,41,40,39
Gunter,Bittengel,KFC Uerdingen,1966-07-14,30,36,57,57,57,48,48,54,58,52,52,52,46,46,44,43,44
Bruno,Labbadia,Werder Bremen,1966-02-08,30,45,48,48,48,59,59,56,50,56,56,58,64,64,67,73,70
Andree,Wiedener,Werder Bremen,1970-03-14,26,43,68,68,69,55,55,58,55,48,48,45,43,43,46,43,41
Andreas,Herzog,Werder Bremen,1968-09-10,27,42,51,51,49,60,60,59,58,63,63,65,68,68,67,68,68
Oliver,Reck,Werder Bremen,1965-02-27,31,75,40,40,37,44,44,46,51,54,54,55,52,52,49,40,44
Hany,Ramzy,Werder Bremen,1969-03-10,27,41,71,71,75,55,55,58,59,52,52,49,43,43,42,43,42
Marco,Bode,Werder Bremen,1969-07-23,27,40,70,70,70,67,67,68,71,69,69,68,64,64,60,54,56
Dieter,Eilts,Werder Bremen,1964-12-10,31,51,85,85,85,70,70,77,78,68,68,66,61,61,62,58,58
Heiko,Scholz,Werder Bremen,1966-01-07,30,41,71,71,70,68,68,69,72,70,70,69,65,65,61,53,56
Heimo,Pfeifenberger,Werder Bremen,1966-12-29,29,44,45,45,45,56,56,54,49,54,54,55,62,62,64,67,64
Timo,Schultz,Werder Bremen,1977-08-26,18,43,64,64,65,56,56,58,51,46,46,44,45,45,49,45,42
Thomas,Penshorn,Werder Bremen,1977-08-27,18,42,67,67,70,55,55,57,53,49,49,46,44,44,44,42,40
Bernd,Hobsch,Werder Bremen,1968-05-07,28,40,47,47,47,56,56,55,53,58,58,59,63,63,64,66,65
Hans-Jürgen,Gundelach,Werder Bremen,1963-11-29,32,71,39,39,34,38,38,44,49,47,47,48,45,45,45,34,38
Lars,Unger,Werder Bremen,1972-08-30,23,41,67,67,67,63,63,63,65,62,62,61,59,59,56,50,51
Havard,Flo,Werder Bremen,1970-04-04,26,42,42,42,39,50,50,51,47,51,51,53,58,58,62,67,65
Miroslav,Votava,Werder Bremen,1956-04-25,40,47,66,66,64,58,58,63,67,63,63,63,57,57,56,54,55
Jens,Todt,Werder Bremen,1970-01-05,26,41,60,60,59,51,51,58,61,55,55,55,49,49,49,48,48
Thomas,Wolter,Werder Bremen,1963-10-04,32,43,65,65,64,68,68,69,66,65,65,65,67,67,68,60,61
Ari,van Lent,Werder Bremen,1970-08-31,25,45,47,47,44,56,56,58,54,56,56,58,62,62,66,69,66
Frank,Rost,Werder Bremen,1973-06-30,23,67,36,36,32,38,38,42,48,48,48,50,46,46,45,34,38
Michael,Schulz,Werder Bremen,1961-09-03,34,35,55,55,55,52,52,54,55,52,52,51,49,49,49,46,46
Davide,Pinato,Atalanta,1964-03-15,32,71,39,39,33,39,39,46,51,48,48,50,47,47,47,37,40
Luca,Cavalli,Atalanta,1978-03-29,18,41,61,61,59,51,51,57,61,56,56,55,49,49,49,49,49
Luciano,Zauri,Atalanta,1978-01-20,18,42,61,61,60,54,54,59,63,58,58,57,53,53,52,48,50
Arnaldo,Bonfanti,Atalanta,1978-03-18,18,42,68,68,70,55,55,60,59,51,51,49,44,44,46,43,42
Massimo,Carrera,Atalanta,1964-04-22,32,39,73,73,75,56,56,60,57,49,49,46,43,43,45,44,42
Stefano,Rossini,Atalanta,1971-02-02,25,36,73,73,75,55,55,60,62,53,53,50,43,43,42,43,42
Filippo,Inzaghi,Atalanta,1973-08-09,22,51,51,51,50,60,60,59,57,60,60,61,66,66,67,66,65
Federico,Pisani,Atalanta,1974-07-25,22,41,43,43,42,54,54,51,47,53,53,55,60,60,63,70,67
Franco,Rotella,Atalanta,1966-11-16,29,44,52,52,49,59,59,60,61,63,63,65,66,66,65,66,66
Daniele,Fortunato,Atalanta,1963-01-08,33,41,59,59,58,52,52,57,60,56,56,56,51,51,51,53,53
Gianluca,Luppi,Atalanta,1966-08-23,29,39,66,66,68,60,60,61,58,54,54,52,51,51,51,42,43
Davide,Micillo,Atalanta,1971-04-17,25,78,43,43,38,43,43,48,53,51,51,52,49,49,48,37,40
Joachim,Persson,Atalanta,1975-04-03,21,35,59,59,59,52,52,55,57,54,54,53,48,48,47,44,45
Federico,Magallense,Atalanta,1970-01-01,26,41,44,44,42,51,51,52,48,51,51,52,57,57,61,67,64
Andrea,Sottil,Atalanta,1974-01-04,22,36,62,62,64,48,48,52,52,45,45,43,39,39,41,42,40
Fabio,Gallo,Atalanta,1970-09-11,25,49,47,47,43,55,55,56,54,58,58,59,62,62,65,68,66
Jose Oscar,Herrara,Atalanta,1965-06-17,31,41,48,48,46,58,58,56,58,63,63,64,65,65,62,59,61
Emanuele,Tresoldi,Atalanta,1973-11-20,22,43,69,69,70,53,53,58,57,49,49,47,42,42,44,44,42
Paolo,Foglio,Atalanta,1975-09-08,20,40,73,73,75,55,55,60,60,52,52,49,43,43,43,42,41
Zoran,Mirkovic,Atalanta,1977-01-01,19,40,65,65,67,48,48,53,53,46,46,44,38,38,40,40,38
Fausto,Rossini,Atalanta,1978-03-02,18,43,49,49,48,59,59,57,53,59,59,61,66,66,67,71,69
Andrea,Natali,Atalanta,1979-06-09,17,68,42,42,38,39,39,44,45,41,41,41,41,41,42,33,34
Domenico,Morfeo,Atalanta,1976-01-16,20,45,52,52,48,59,59,62,66,68,68,70,70,70,68,65,67
Gianluigi,Lentini,Atalanta,1969-03-27,27,52,64,64,62,67,67,70,72,72,72,74,74,74,74,76,76
Marco,Sgro,Atalanta,1970-05-09,26,36,58,58,58,51,51,56,57,53,53,53,49,49,49,47,47
Walter,Bonacina,Atalanta,1964-07-30,31,43,48,48,43,59,59,60,60,65,65,67,69,69,70,65,66
Giuseppe,Giorgetti,Bari,1971-08-19,24,42,69,69,68,57,57,63,67,60,60,59,53,53,52,50,50
Angelo,Fumarola,Bari,1977-08-04,18,37,63,63,64,56,56,59,64,61,61,60,54,54,52,50,52
Luigi,Garzya,Bari,1969-07-07,27,38,64,64,65,59,59,61,58,55,55,53,52,52,53,46,46
Paolo,Annoni,Bari,1970-01-21,26,39,67,67,67,61,61,61,57,54,54,51,52,52,53,43,43
Klas,Ingesson,Bari,1968-08-20,27,38,63,63,62,54,54,59,65,62,62,62,55,55,53,53,54
Thomas,Doll,Bari,1966-04-09,30,39,62,62,61,54,54,60,66,61,61,61,53,53,52,51,53
Marco,Di Vaio,Bari,1976-07-15,20,47,50,50,49,57,57,57,57,60,60,62,63,63,62,65,64
Nicola,Ventola,Bari,1978-05-24,18,48,41,41,38,51,51,52,46,49,49,50,58,58,62,64,61
Gianluca,Ricci,Bari,1968-03-02,28,41,62,62,61,65,65,64,64,65,65,65,65,65,64,62,62
Marcello,Montanari,Bari,1965-09-25,30,45,62,62,64,56,56,56,53,50,50,48,48,48,49,48,46
Alberto,Fontana,Bari,1967-01-23,29,64,45,45,41,42,42,46,51,50,50,50,45,45,44,36,38
Sergio,Volpi,Bari,1974-02-02,22,37,56,56,58,50,50,52,55,54,54,54,50,50,48,54,54
Roberto,Ripa,Bari,1967-10-26,28,37,67,67,68,52,52,57,58,50,50,48,42,42,43,43,41
Luca,Gentili,Bari,1972-03-31,24,65,32,32,29,33,33,35,37,38,38,39,37,37,35,28,29
Miguel Angel,Guerrero Paz,Bari,1967-09-07,28,45,42,42,39,50,50,51,49,51,51,53,57,57,58,62,60
Gian Paolo,Manighetti,Bari,1969-01-24,27,39,65,65,66,58,58,60,58,54,54,53,52,52,51,46,45
Diego,De Ascentis,Bari,1976-07-31,19,35,59,59,58,50,50,56,60,55,55,54,48,48,48,44,46
Francesco,Flachi,Bari,1975-04-08,21,51,44,44,42,55,55,56,51,54,54,56,63,63,67,70,67
Luigi,Sala,Bari,1974-02-21,22,50,54,54,54,51,51,50,47,45,45,44,45,45,46,41,40
Amedeo,Mangone,Bari,1968-07-12,28,39,65,65,65,59,59,60,57,53,53,51,50,50,50,41,42
Fabian Alberto,O'Neill,Cagliari,1973-10-14,22,50,50,50,47,60,60,61,57,61,61,63,68,68,72,75,72
Stefano,Bettarini,Cagliari,1972-02-06,24,40,73,73,74,65,65,68,64,58,58,56,55,55,56,46,46
Eric,Tinkler,Cagliari,1969-01-01,27,43,66,66,65,58,58,64,68,61,61,61,56,56,56,51,52
Christian,Lonstrup,Cagliari,1971-04-04,25,42,52,52,48,60,60,62,63,65,65,67,68,68,68,67,68
Mirko,Tocchi,Cagliari,1978-06-17,18,44,71,71,71,54,54,61,59,50,50,48,44,44,47,43,41
Marco,Pascolo,Cagliari,1966-05-09,30,77,43,43,37,41,41,46,54,52,52,54,49,49,47,39,43
Pierpaolo,Bisoli,Cagliari,1966-11-20,29,43,47,47,42,57,57,59,60,63,63,65,68,68,67,59,61
Giuseppe,Pancaro,Cagliari,1971-08-26,24,39,63,63,63,57,57,59,56,53,53,51,50,50,52,45,44
Dario Dobray,Silva,Cagliari,1972-11-02,23,45,45,45,42,61,61,60,57,64,64,66,72,72,72,70,70
Matteo,Villa,Cagliari,1970-01-23,26,38,68,68,70,52,52,57,58,50,50,48,42,42,42,41,40
Francesco,Cozza,Cagliari,1974-01-18,22,46,47,47,42,60,60,62,64,68,68,70,72,72,70,60,63
Gionvanni,Sulcis,Cagliari,1975-06-17,21,40,50,50,48,56,56,57,59,61,61,62,62,62,62,65,65
Gianluca,Picciau,Cagliari,1979-07-16,17,40,73,73,75,56,56,62,62,53,53,50,44,44,45,45,43
Roberto,Muzzi,Cagliari,1971-09-21,24,45,50,50,47,58,58,60,56,59,59,61,65,65,68,74,71
Beniamino,Abate,Cagliari,1962-04-10,34,57,34,34,30,33,33,36,39,38,38,38,36,36,36,28,30
Marco,Sanna,Cagliari,1969-12-27,26,31,47,47,47,45,45,46,45,45,45,44,43,43,42,41,41
Gian Battista,Scugugia,Cagliari,1970-10-07,25,39,71,71,74,53,53,56,55,47,47,44,38,38,40,40,38
Gianluca,Grassadonia,Cagliari,1972-05-20,24,41,72,72,74,53,53,59,59,50,50,48,41,41,43,44,42
Alessio,Pieroni,Cagliari,1976-03-21,20,40,74,74,77,56,56,61,59,51,51,47,42,42,43,41,39
Massimo,Perra,Cagliari,1976-04-02,20,41,67,67,67,58,58,63,66,60,60,59,54,54,53,52,52
Daniele,Fois,Cagliari,1978-09-16,17,43,54,54,51,61,61,62,64,66,66,67,68,68,68,64,66
Giacomo,Banchelli,Cagliari,1973-06-14,23,41,44,44,42,53,53,53,49,52,52,54,59,59,63,70,66
Lorenzo,Minotti,Cagliari,1967-02-08,29,44,79,79,81,70,70,73,73,69,69,67,64,64,64,61,61
Walter,Mirabelli,Cremonese,1968-05-17,28,40,40,40,38,50,50,50,47,52,52,54,58,58,60,65,63
Frederico,Valorsi,Cremonese,1977-01-14,19,39,42,42,38,52,52,54,56,60,60,63,63,63,62,57,59
Gianluca,Petrachi,Cremonese,1969-01-14,27,35,54,54,55,47,47,50,53,51,51,50,46,46,44,44,45
John,Aloisi,Cremonese,1976-02-05,20,41,46,46,45,55,55,55,51,54,54,55,61,61,64,68,65
Domenico,Doardo,Cremonese,1974-07-03,22,63,37,37,35,38,38,39,44,45,45,46,44,44,40,34,37
Gianni,Cristiani,Cremonese,1963-02-09,33,41,48,48,46,55,55,54,56,60,60,62,62,62,61,60,62
David,Stefani,Cremonese,1975-06-26,21,35,60,60,60,51,51,55,58,54,54,53,48,48,48,49,49
Giovanni,Dall'igna,Cremonese,1972-08-16,23,39,58,58,58,62,62,59,62,66,66,67,66,66,61,57,60
Fabio,Di Sauro,Cremonese,1975-12-19,20,49,59,59,61,59,59,57,52,51,51,49,52,52,52,43,43
Corrado,Verdelli,Cremonese,1963-09-30,32,50,64,64,65,53,53,56,55,49,49,46,43,43,44,41,41
Riccardo,Castagna,Cremonese,1971-12-23,24,39,63,63,63,56,56,58,55,51,51,49,48,48,48,44,43
Marco,Pedretti,Cremonese,1973-01-06,23,37,65,65,67,50,50,54,56,48,48,46,40,40,40,42,40
Roberto,Manfredi,Cremonese,1976-01-11,20,41,43,43,42,55,55,52,46,52,52,54,61,61,64,69,66
Vanni,Pessotto,Cremonese,1974-06-04,22,33,58,58,57,48,48,53,57,52,52,51,45,45,45,43,44
Riccardo,Maspero,Cremonese,1970-02-19,26,44,48,48,48,50,50,51,52,55,55,56,55,55,53,60,59
Giorgio,Bianchi,Cremonese,1975-12-08,20,54,30,30,26,32,32,35,39,40,40,41,39,39,38,35,36
Michele,Arcari,Cremonese,1978-06-27,18,69,43,43,39,38,38,43,45,40,40,40,39,39,41,34,35
D'angelo,Orlando,Cremonese,1965-08-11,30,44,44,44,45,50,50,50,46,48,48,48,51,51,52,43,44
Marco,Giandebiaggi,Cremonese,1969-02-01,27,46,46,46,44,54,54,53,54,57,57,58,60,60,59,57,58
Ettore,Ferraroni,Cremonese,1968-01-17,28,41,49,49,48,43,43,47,51,47,47,47,43,43,43,40,41
Francesco,Toldo,Fiorentina,1971-12-02,24,78,51,51,46,47,47,52,57,54,54,54,49,49,48,41,43
Luis,Oliveira,Fiorentina,1969-03-24,27,42,47,47,43,57,57,58,59,62,62,65,66,66,66,60,61
Sandro,Cois,Fiorentina,1972-06-09,24,45,66,66,65,66,66,68,74,73,73,74,69,69,66,64,66
Massimo,Orlando,Fiorentina,1971-05-26,25,38,55,55,56,57,57,55,52,54,54,54,56,56,57,61,59
Manuel,Rui Costa,Fiorentina,1972-03-29,24,46,70,70,67,77,77,78,80,82,82,83,83,83,83,79,81
Stefan,Schwartz,Fiorentina,1969-04-18,27,45,48,48,43,58,58,61,65,69,69,73,73,73,71,68,70
Aldo,Firicano,Fiorentina,1967-03-12,29,40,61,61,60,62,62,63,60,59,59,59,61,61,63,61,61
Gabriel,Batistuta,Fiorentina,1969-02-01,27,57,65,65,63,73,73,74,73,76,76,78,81,81,83,86,85
Michele,Serena,Fiorentina,1970-03-10,26,40,66,66,66,62,62,64,60,57,57,55,56,56,56,48,47
Daniele,Carnasciali,Fiorentina,1966-09-06,29,42,64,64,64,58,58,61,59,55,55,53,52,52,53,47,46
Lorenzo,Amoruso,Fiorentina,1971-06-28,25,41,60,60,59,61,61,64,61,60,60,60,61,61,63,63,62
Francesco,Baiano,Fiorentina,1968-02-24,28,47,48,48,45,58,58,59,58,62,62,65,68,68,69,71,70
Anselmo,Robbiati,Fiorentina,1972-01-01,24,43,50,50,47,56,56,58,60,62,62,63,63,63,63,62,63
Alessandro,Zandona,Fiorentina,1976-01-19,20,58,32,32,27,34,34,37,38,38,38,39,38,38,38,31,32
Pasquale,Padalino,Fiorentina,1972-07-26,24,41,70,70,72,55,55,59,56,49,49,46,43,43,44,43,41
Vittorio,Pusceddu,Fiorentina,1964-02-12,32,43,72,72,73,62,62,65,63,57,57,54,53,53,55,49,48
Andrei,Kanchelskis,Fiorentina,1969-01-23,27,53,51,51,46,72,72,70,65,73,73,76,84,84,87,82,82
Giulo,Falcone,Fiorentina,1974-05-31,22,41,73,73,75,57,57,62,61,53,53,51,46,46,48,50,48
Gian Matteo,Mareggini,Fiorentina,1967-01-08,29,59,32,32,28,33,33,36,40,40,40,41,39,39,37,31,33
Giovanni,Piacentini,Fiorentina,1968-04-09,28,44,59,59,58,52,52,57,61,57,57,57,52,52,51,48,49
Fabio,Galante,Inter,1973-11-20,22,43,73,73,75,57,57,62,60,53,53,50,45,45,47,44,42
Salvatore,Fresi,Inter,1973-01-16,23,41,73,73,72,68,68,70,72,70,70,69,65,65,64,65,65
Massimo,Paganin,Inter,1970-07-19,26,43,76,76,79,65,65,69,69,64,64,61,56,56,54,51,51
Nicola,Berti,Inter,1967-04-14,29,40,66,66,65,63,63,64,64,64,64,64,61,61,62,66,64
Giuseppe,Bergomi,Inter,1963-12-22,32,45,76,76,77,64,64,68,67,60,60,58,54,54,55,52,51
Alessandro,Pistone,Inter,1975-05-27,21,45,69,69,71,63,63,65,61,58,58,56,54,54,54,52,50
Youri,Djorkaeff,Inter,1968-03-09,28,50,62,62,60,68,68,69,69,71,71,73,74,74,74,77,76
Gianluca,Pagliuca,Inter,1966-12-18,29,84,60,60,56,59,59,64,68,65,65,65,61,61,58,48,51
Paul,Ince,Inter,1967-10-21,28,49,82,82,81,77,77,80,86,82,82,82,75,75,71,72,73
Aron,Winter,Inter,1967-03-01,29,44,72,72,71,71,71,73,77,77,77,77,72,72,70,70,71
Marco,Branca,Inter,1965-01-06,31,46,54,54,52,61,61,61,58,61,61,62,66,66,68,74,71
Armando,Pantanelli,Inter,1971-06-01,25,72,40,40,36,34,34,40,43,38,38,39,36,36,39,33,34
Massimo,Tarantino,Inter,1971-05-20,25,43,70,70,71,62,62,65,62,57,57,55,53,53,54,56,53
Ciriaco,Sforza,Inter,1970-03-02,26,50,70,70,69,63,63,68,71,66,66,66,62,62,62,62,62
Javier,Zanetti,Inter,1973-08-10,22,45,71,71,68,75,75,75,77,78,78,79,78,78,75,72,73
Maurizio,Ganz,Inter,1968-10-13,27,50,51,51,49,59,59,62,61,65,65,67,69,69,71,78,76
Andrea,Mazzantini,Inter,1968-07-11,28,70,42,42,37,42,42,47,54,53,53,55,51,51,49,38,43
Ivan,Zamorano,Inter,1967-01-18,29,48,50,50,49,62,62,62,58,63,63,66,71,71,74,80,77
Nwankwo,Kanu,Inter,1976-08-01,19,48,50,50,48,63,63,62,56,61,61,63,70,70,74,76,74
Jocelyn,Angloma,Inter,1965-08-07,30,44,76,76,77,67,67,71,67,61,61,59,57,57,59,56,54
Paolo,Montero Iglesias,Juventus,1971-09-03,24,48,79,79,81,63,63,70,70,62,62,59,52,52,53,56,53
Angelo,Peruzzi,Juventus,1970-02-16,26,86,62,62,58,58,58,62,64,61,61,61,57,57,58,49,51
Ciro,Ferrara,Juventus,1967-02-11,29,48,76,76,77,67,67,70,67,63,63,61,58,58,59,59,57
Moreno,Torricelli,Juventus,1970-01-23,26,41,79,79,82,64,64,69,66,60,60,58,52,52,54,59,55
Didier,Deschamps,Juventus,1968-10-15,27,50,57,57,53,65,65,66,67,71,71,73,74,74,75,72,73
Vladimir,Jugovic,Juventus,1969-08-30,26,54,65,65,61,72,72,75,77,80,80,82,82,82,81,80,81
Zinedine,Zidane,Juventus,1972-06-23,24,53,73,73,70,76,76,78,81,82,82,84,83,83,82,81,83
Alen,Boksic,Juventus,1970-01-21,26,53,57,57,54,65,65,67,67,70,70,72,75,75,78,82,81
Alessandro,Del Piero,Juventus,1974-11-09,21,53,56,56,51,70,70,70,70,76,76,79,83,83,84,84,84
Gianluca,Pessotto,Juventus,1970-08-11,25,45,75,75,77,67,67,68,66,61,61,59,57,57,57,56,54
Attilio,Lombardo,Juventus,1966-01-06,30,54,64,64,62,69,69,71,74,76,76,78,78,78,77,79,79
Sergio,Porrini,Juventus,1968-11-08,27,40,66,66,68,59,59,61,58,54,54,52,51,51,52,49,47
Alessio,Tacchinardi,Juventus,1975-07-23,21,41,71,71,71,68,68,70,72,70,70,70,66,66,67,66,67
Michelangelo,Rampulla,Juventus,1962-08-10,33,73,40,40,34,40,40,45,50,48,48,49,47,47,46,36,39
Raffaele,Ametrano,Juventus,1973-02-15,23,46,55,55,52,61,61,62,67,69,69,71,69,69,67,65,67
Christian,Vieri,Juventus,1973-07-12,23,52,52,52,48,63,63,63,61,65,65,68,71,71,74,76,75
Corrado,Grabbi,Juventus,1975-07-29,21,42,50,50,48,56,56,56,51,54,54,55,59,59,64,70,66
Manuel,Dimas,Juventus,1969-02-16,27,34,64,64,66,47,47,51,52,44,44,41,35,35,36,36,35
Davide,Falcioni,Juventus,1975-05-19,21,70,42,42,38,37,37,42,44,40,40,40,38,38,40,34,34
Mark,Juliano,Juventus,1973-08-12,22,43,74,74,76,57,57,63,61,52,52,49,44,44,47,44,42
Alessandro,Orlando,Juventus,1970-06-01,26,46,76,76,79,60,60,64,62,55,55,52,47,47,47,46,44
Angelo,Di Livio,Juventus,1966-07-26,30,52,61,61,58,67,67,69,70,71,71,73,74,74,75,76,76
Antonio,Conte,Juventus,1969-07-31,26,45,54,54,51,61,61,63,64,67,67,69,69,69,69,70,70
Juan Pablo,Sorin,Juventus,1976-05-05,20,40,66,66,66,61,61,63,59,55,55,53,53,53,54,44,44
Michele,Padovano,Juventus,1966-08-28,29,50,58,58,56,63,63,65,67,69,69,71,70,70,69,73,73
Daniele,Franceschini,Lazio,1976-01-13,20,38,66,66,65,56,56,63,68,62,62,62,55,55,53,49,51
Pavel,Nedved,Lazio,1972-08-30,23,46,69,69,69,62,62,65,68,66,66,66,60,60,57,61,60
Giuseppe,Signori,Lazio,1968-02-17,28,53,54,54,52,66,66,63,57,63,63,64,71,71,75,80,78
Luca,Marchegiani,Lazio,1966-02-22,30,84,57,57,52,52,52,58,61,58,58,58,53,53,54,45,47
Dario,Marcolin,Lazio,1971-10-28,24,46,62,62,60,64,64,64,67,69,69,70,67,67,64,65,66
Diego,Fuser,Lazio,1968-11-11,27,45,60,60,58,62,62,64,65,66,66,66,65,65,65,65,65
Alessandro,Nesta,Lazio,1976-03-19,20,39,69,69,69,55,55,60,64,57,57,55,48,48,47,44,45
